Axis,Extreme1,Extreme2
Biocompatibility,Non-biocompatible,Biocompatible
Mechanical Compatibility,Incompatible Mechanical Properties,Compatible Mechanical Properties
Degradability,Non-degradable,Biodegradable
Manufacturability,Difficult to Manufacture,Easy to Manufacture
Chemical Stability,Chemically Unstable,Chemically Stable
Safety & Toxicology,Unsafe,Safe
Regulatory Compliance,Non-compliant,Compliant
Cost-effectiveness,Not Cost-effective,Cost-effective
Innovativeness,Conventional,Innovative
Customizability,Non-customizable,Customizable
